target_load_A,load_drop_A,load_drop_norm,objective_alpha_settle,objective_label,tau_ai_us,delay_events,event_period_us_assumed,selected_ref_slew_us,undershoot_mV,final_vout_error_mV,skip_count_est,settle_time_us,phase_spacing_std_ns,base_score,objective_score,source
20.0,20.0,0.5,0.0,base_score,0.0,0,0.5,80.0,1.0943598016524,-0.435550987461508,0.0,14.41,37.1400221295455,2.27271123170482,2.27271123170482,"Simulink dense+long sweep oracle label; tau_ai is deployment-context feature, not a Simulink delay dimension"
20.0,20.0,0.5,0.0,base_score,0.5,1,0.5,80.0,1.0943598016524,-0.435550987461508,0.0,14.41,37.1400221295455,2.27271123170482,2.27271123170482,"Simulink dense+long sweep oracle label; tau_ai is deployment-context feature, not a Simulink delay dimension"
20.0,20.0,0.5,0.0,base_score,1.0,2,0.5,80.0,1.0943598016524,-0.435550987461508,0.0,14.41,37.1400221295455,2.27271123170482,2.27271123170482,"Simulink dense+long sweep oracle label; tau_ai is deployment-context feature, not a Simulink delay dimension"
20.0,20.0,0.5,0.0,base_score,2.0,4,0.5,80.0,1.0943598016524,-0.435550987461508,0.0,14.41,37.1400221295455,2.27271123170482,2.27271123170482,"Simulink dense+long sweep oracle label; tau_ai is deployment-context feature, not a Simulink delay dimension"
20.0,20.0,0.5,0.0,base_score,5.0,10,0.5,80.0,1.0943598016524,-0.435550987461508,0.0,14.41,37.1400221295455,2.27271123170482,2.27271123170482,"Simulink dense+long sweep oracle label; tau_ai is deployment-context feature, not a Simulink delay dimension"
20.0,20.0,0.5,0.05,settling_weight_0p05,0.0,0,0.5,30.0,1.26719882798709,-0.436764941712187,0.0,0.938000000000024,37.0921617490197,2.44580700467967,2.49270700467967,"Simulink dense+long sweep oracle label; tau_ai is deployment-context feature, not a Simulink delay dimension"
20.0,20.0,0.5,0.05,settling_weight_0p05,0.5,1,0.5,30.0,1.26719882798709,-0.436764941712187,0.0,0.938000000000024,37.0921617490197,2.44580700467967,2.49270700467967,"Simulink dense+long sweep oracle label; tau_ai is deployment-context feature, not a Simulink delay dimension"
20.0,20.0,0.5,0.05,settling_weight_0p05,1.0,2,0.5,30.0,1.26719882798709,-0.436764941712187,0.0,0.938000000000024,37.0921617490197,2.44580700467967,2.49270700467967,"Simulink dense+long sweep oracle label; tau_ai is deployment-context feature, not a Simulink delay dimension"
20.0,20.0,0.5,0.05,settling_weight_0p05,2.0,4,0.5,30.0,1.26719882798709,-0.436764941712187,0.0,0.938000000000024,37.0921617490197,2.44580700467967,2.49270700467967,"Simulink dense+long sweep oracle label; tau_ai is deployment-context feature, not a Simulink delay dimension"
20.0,20.0,0.5,0.05,settling_weight_0p05,5.0,10,0.5,30.0,1.26719882798709,-0.436764941712187,0.0,0.938000000000024,37.0921617490197,2.44580700467967,2.49270700467967,"Simulink dense+long sweep oracle label; tau_ai is deployment-context feature, not a Simulink delay dimension"
20.0,20.0,0.5,0.1,settling_weight_0p10,0.0,0,0.5,30.0,1.26719882798709,-0.436764941712187,0.0,0.938000000000024,37.0921617490197,2.44580700467967,2.53960700467967,"Simulink dense+long sweep oracle label; tau_ai is deployment-context feature, not a Simulink delay dimension"
20.0,20.0,0.5,0.1,settling_weight_0p10,0.5,1,0.5,30.0,1.26719882798709,-0.436764941712187,0.0,0.938000000000024,37.0921617490197,2.44580700467967,2.53960700467967,"Simulink dense+long sweep oracle label; tau_ai is deployment-context feature, not a Simulink delay dimension"
20.0,20.0,0.5,0.1,settling_weight_0p10,1.0,2,0.5,30.0,1.26719882798709,-0.436764941712187,0.0,0.938000000000024,37.0921617490197,2.44580700467967,2.53960700467967,"Simulink dense+long sweep oracle label; tau_ai is deployment-context feature, not a Simulink delay dimension"
20.0,20.0,0.5,0.1,settling_weight_0p10,2.0,4,0.5,30.0,1.26719882798709,-0.436764941712187,0.0,0.938000000000024,37.0921617490197,2.44580700467967,2.53960700467967,"Simulink dense+long sweep oracle label; tau_ai is deployment-context feature, not a Simulink delay dimension"
20.0,20.0,0.5,0.1,settling_weight_0p10,5.0,10,0.5,30.0,1.26719882798709,-0.436764941712187,0.0,0.938000000000024,37.0921617490197,2.44580700467967,2.53960700467967,"Simulink dense+long sweep oracle label; tau_ai is deployment-context feature, not a Simulink delay dimension"
