r027_case_id,target_label,target_load_A,load_drop_A,objective,objective_alpha_settle,tau_ai_us,delay_events,event_period_us_assumed,policy,source_policy,policy_kind,policy_role,selected_ref_slew_us,realized_ref_slew_us_in_offline_grid,ref_start_delay_us_for_simulink,delay_mode,offline_objective_score,offline_regret_vs_oracle,offline_undershoot_mV,offline_settle_time_us,offline_skip_count_est,offline_phase_std_ns,online_available_inputs_only,selection_basis,boundary,include_in_priority_run,r030_case_id,r030_plan_role,r030_reason
R027_0144,20A,20,20,score_settle005,0.05,0,0,0.5,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,proxy_projection,deployable_candidate,66,66,0,commit_after_tau_ai,2.39820696270275,0,1.11287107294222,0.938000000000024,0,40.007102545006,True,deployable calibrated risk table + smooth score surrogate,R027 plan only; switching evidence requires derived Simulink run,False,R030_0021,dense_anchor_challenge_pair,R030 challenge: proxy and dense differ outside R027 priority; run pair to test whether dense-anchor projection is over-conservative.
R027_0143,20A,20,20,score_settle005,0.05,0,0,0.5,discrete_dense_long_table,discrete_dense_long_table,lookup_table,deployable_baseline,30,30,0,commit_after_tau_ai,2.49270700467967,0.0945000419769184,1.26719882798709,0.938000000000024,0,37.0921617490197,True,best prior dense+long simulated point,R027 plan only; switching evidence requires derived Simulink run,False,R030_0022,dense_anchor_challenge_pair,R030 challenge: proxy and dense differ outside R027 priority; run pair to test whether dense-anchor projection is over-conservative.
R027_0151,20A,20,20,score_settle005,0.05,0.5,1,0.5,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,proxy_projection,deployable_candidate,66,66,0.5,commit_after_tau_ai,2.39820696270275,0,1.11287107294222,0.938000000000024,0,40.007102545006,True,deployable calibrated risk table + smooth score surrogate,R027 plan only; switching evidence requires derived Simulink run,False,R030_0023,dense_anchor_challenge_pair,R030 challenge: proxy and dense differ outside R027 priority; run pair to test whether dense-anchor projection is over-conservative.
R027_0150,20A,20,20,score_settle005,0.05,0.5,1,0.5,discrete_dense_long_table,discrete_dense_long_table,lookup_table,deployable_baseline,30,30,0.5,commit_after_tau_ai,2.49270700467967,0.0945000419769184,1.26719882798709,0.938000000000024,0,37.0921617490197,True,best prior dense+long simulated point,R027 plan only; switching evidence requires derived Simulink run,False,R030_0024,dense_anchor_challenge_pair,R030 challenge: proxy and dense differ outside R027 priority; run pair to test whether dense-anchor projection is over-conservative.
R027_0158,20A,20,20,score_settle005,0.05,1,2,0.5,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,proxy_projection,deployable_candidate,66,66,1,commit_after_tau_ai,2.39820696270275,0,1.11287107294222,0.938000000000024,0,40.007102545006,True,deployable calibrated risk table + smooth score surrogate,R027 plan only; switching evidence requires derived Simulink run,False,R030_0025,dense_anchor_challenge_pair,R030 challenge: proxy and dense differ outside R027 priority; run pair to test whether dense-anchor projection is over-conservative.
R027_0157,20A,20,20,score_settle005,0.05,1,2,0.5,discrete_dense_long_table,discrete_dense_long_table,lookup_table,deployable_baseline,30,30,1,commit_after_tau_ai,2.49270700467967,0.0945000419769184,1.26719882798709,0.938000000000024,0,37.0921617490197,True,best prior dense+long simulated point,R027 plan only; switching evidence requires derived Simulink run,False,R030_0026,dense_anchor_challenge_pair,R030 challenge: proxy and dense differ outside R027 priority; run pair to test whether dense-anchor projection is over-conservative.
R027_0165,20A,20,20,score_settle005,0.05,2,4,0.5,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,proxy_projection,deployable_candidate,66,66,2,commit_after_tau_ai,2.39820696270275,0,1.11287107294222,0.938000000000024,0,40.007102545006,True,deployable calibrated risk table + smooth score surrogate,R027 plan only; switching evidence requires derived Simulink run,False,R030_0027,dense_anchor_challenge_pair,R030 challenge: proxy and dense differ outside R027 priority; run pair to test whether dense-anchor projection is over-conservative.
R027_0164,20A,20,20,score_settle005,0.05,2,4,0.5,discrete_dense_long_table,discrete_dense_long_table,lookup_table,deployable_baseline,30,30,2,commit_after_tau_ai,2.49270700467967,0.0945000419769184,1.26719882798709,0.938000000000024,0,37.0921617490197,True,best prior dense+long simulated point,R027 plan only; switching evidence requires derived Simulink run,False,R030_0028,dense_anchor_challenge_pair,R030 challenge: proxy and dense differ outside R027 priority; run pair to test whether dense-anchor projection is over-conservative.
R027_0172,20A,20,20,score_settle005,0.05,5,10,0.5,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,proxy_projection,deployable_candidate,66,66,5,commit_after_tau_ai,2.39820696270275,0,1.11287107294222,0.938000000000024,0,40.007102545006,True,deployable calibrated risk table + smooth score surrogate,R027 plan only; switching evidence requires derived Simulink run,False,R030_0029,dense_anchor_challenge_pair,R030 challenge: proxy and dense differ outside R027 priority; run pair to test whether dense-anchor projection is over-conservative.
R027_0171,20A,20,20,score_settle005,0.05,5,10,0.5,discrete_dense_long_table,discrete_dense_long_table,lookup_table,deployable_baseline,30,30,5,commit_after_tau_ai,2.49270700467967,0.0945000419769184,1.26719882798709,0.938000000000024,0,37.0921617490197,True,best prior dense+long simulated point,R027 plan only; switching evidence requires derived Simulink run,False,R030_0030,dense_anchor_challenge_pair,R030 challenge: proxy and dense differ outside R027 priority; run pair to test whether dense-anchor projection is over-conservative.
